,active_installs,cloud_avg_price,cloud_max_price,cloud_min_price,cloud_review_rate1,cloud_review_rate2,cloud_review_rate3,cloud_review_rate4,cloud_review_rate5,delta_installs,deployment_cloud,deployment_data_center,deployment_server,description,downloads,is_top_vendor,is_vendor_atlasian,license,market_name,marketplace_type,plugin_system_version,rating_num,rating_score,rating_stars,release_date,vendor_name,version,version_build_number,server_avg_price,server_max_price,server_min_price,server_review_rate1,server_review_rate2,server_review_rate3,server_review_rate4,server_review_rate5,dataCenter_avg_price,dataCenter_max_price,dataCenter_min_price,dataCenter_review_rate1,dataCenter_review_rate2,dataCenter_review_rate3,dataCenter_review_rate4,dataCenter_review_rate5
140,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,Discover work log data numbers via simple and powerfull reports,0.0,0.0,0.0,commercial-free,Team Worklog Reports Lite,Free,Three,1.0,1.475529529535195,4.0,1596013576827.0,Gebsun,2.1.5-AC,2001005.0,,,,,,,,,,,,,,,,
141,15.0,77102.0,227625.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Build a custom Jira Data Connector to import issues in QlikSense and QlikView,0.0,0.0,0.0,commercial,Qlik Connector for Jira,Paid via Atlassian,Three,3.0,1.835799099753871,3.666666746139526,1578665625334.0,PLUGM,1.1.2-AC,1001002.0,,,,,,,,,,,,,,,,
142,121.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Time tracking your  team will actually use,4.0,0.0,0.0,commercial-free,Timecamp Time Tracking,Free,Three,7.0,1.813405104308986,3.0,1532609435586.0,TimeCamp Inc.,1.0.5-AC,1000005.0,,,,,,,,,,,,,,,,
143,30.0,17706.0,51250.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Plan or track Epics in progress by visualizing them on a sprint calendar,41.0,0.0,0.0,commercial,Epic Timeline,Paid via Atlassian,Three,2.0,1.796968276959556,4.0,1583911603407.0,Add-On Experts Center,1.0.2-AC,1000002.0,3546.0,10000.0,10.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
144,26.0,21552.0,58750.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Addon to automate roadmap planning reporting,141.0,0.0,0.0,commercial,Roadmap planner,Paid via Atlassian,Two,2.0,1.226156485169116,2.5,1544284695790.0,Roadmap planner,2.0.4,200000400.0,6306.0,15200.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
145,274.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Drive Work Forward,858.0,0.0,0.0,commercial-free,Workfront for Jira,Free,Two,8.0,1.479362462988869,2.375,1519823452776.0,Workfront Inc.,1.5.3,100500300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
146,22.0,,,,,,,,,3.0,0.0,1.0,1.0,Used for planning and time tracking with approval. Efficient time management and fine-grained project overview with intuitive UI,413.0,0.0,0.0,asl,TimeWise-TimeSheets and WorkLog for Jira,Paid via Atlassian,Two,1.0,1.475529529535195,4.0,1588018752574.0,DragonSoft,2.0.1,1000360.0,5707.0,18000.0,10.0,4.0,0.0,0.0,0.0,0.0,9689.0,15000.0,800.0,0.0,0.0,0.0,0.0,0.0
147,277.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,Hide time tracking information from external users,6.0,0.0,0.0,commercial-free,Hide Time Tracking for Jira Cloud,Free,Three,11.0,1.552311971356565,2.363636255264282,1487849619059.0,Gebsun,1.0.9-AC,1000009.0,,,,,,,,,,,,,,,,
148,16.0,,,,,,,,,0.0,0.0,1.0,1.0,Configure SLA Alerts for breaching and breached SLA's and manage which breaches you want to receive notifications for,344.0,0.0,0.0,asl,SLA Alerts Pro for Jira Service Desk,Paid via Atlassian,Two,3.0,2.030545624680458,4.0,1551704044916.0,Yiraphic,1.5.6,100500601.0,1011.0,2995.0,10.0,4.0,0.0,0.0,0.0,0.0,2057.0,2995.0,149.0,0.0,0.0,0.0,0.0,0.0
149,125.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,20.0,1.0,1.0,1.0,"Managing project resources, planing tasks, checking team's capacity, logging time, timesheet, reports .. All on a visual board",76.0,0.0,0.0,commercial,TeamBoard - Resource Management for Jira,Free,Two,4.0,2.039560812980776,3.75,1604085459627.0,DevSamurai,1.2.0,1000052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,106.0,,,,,,,,,3.0,0.0,0.0,1.0,View the time logged by users in the worklog using a convenient timetable directly on the issue,561.0,0.0,0.0,commercial-free,Worklog History,Free,Two,1.0,1.475529529535195,4.0,1511445298767.0,Lime Trees,1.0.0,1000000.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
151,12.0,,,,,,,,,-1.0,0.0,0.0,1.0,"Are you struggling with getting your team to enter their time? This is the easy, nag-free time tracking enforcement solution",428.0,0.0,0.0,commercial-free,Time Tracking Enforcer for Jira,Paid via Atlassian,Two,4.0,1.73756697984877,3.25,1448071436273.0,"Calvinware, LLC",1.0.5,100000500.0,972.0,2400.0,10.0,3.0,3.0,4.0,3.0,0.0,,,,,,,,
